Geosas Piotr Sasin #         geosas@wp.pl     #502 248 931
Jan Jamróz Przedsiębiorstwo Robót Budowlano Instalacyjno Inżynieryjnych Budokan ##(83) 359 01 00
Jan Kupiec Biuro Usług Geodezyjnych ##601 060 214
Jan Olchówka Biuro Geodezji i Wyceny Nieruchomości #         jan@olchowka.info     #(87) 429 33 27
Jan Płocki Usługi Geodezyjne #         geojas@wp.pl     #601 918 924
Janas Danuta Usługi Geodezyjne #         libra26@op.pl     #608 848 943
Janczak Marcin Usługi Geodezyjne #         geo.marcin@op.pl     #607 618 862
Janczak Roman Usługi Geodezyjne ##(63) 248 53 35
Janiec Grzegorz Usługi Geodezyjno-Kartograficzne ##(91) 397 63 47
Jankowiak Henryk Usługi Geodezyjno-Projektowe ##(65) 572 69 02
Jankowiak Krystian Pomiary Geodezyjne ##600 276 335
Janusz Dymowski Zakład Inżynieryjno Sanitarny #         dymowski@gmail.com     #603 207 470
Janusz Kasperski - Usługi Geodezyjne #         janusz.kasperski@op.pl     #695 084 096
Janusz Kuśnierczyk Usługi Geodezyjne ##695 168 197
Janusz Łopatowski Przedsiębiorstwo Usług Geodezyjno - Kartograficznych Edmiar #         edmiar.janusz@op.pl     #607 231 972
Janusz Mońka Usługi Geodezyjne ##(22) 863 23 03
Janusz Mucha Usługi Geodezyjne ##602 466 936
Janusz Postalewicz Usługi Geodezyjne ##501 515 614
Janusz Środoń Usługi Geodezyjne Geos ##604 244 845
Janusz Waszak Tj Serwis Przedsiębiorstwo Inżynieryjno-Usługowe #         januszwaszak@wp.pl     #606 855 616
Januszewska Aleksandra Januszewski Andrzej S.C. Nieruchomości ##(89) 741 34 08
Januszkiewicz Jakub Biuro Usług Geodezyjnych #         tadeuszjanuszkiewicz@gmail.com     #602 317 504
Jaremko Władysław Pomiary Geodezyjne #         wjaremko@op.pl     #604 143 866
Jar-Geo Usługi Geodezyjne Jarosław Sawczuk #         jaroslawsawczuk@o2.pl     #Oceń firmę i napisz o niej opinię:
Jarosław Adamski Geo-Kad Usługi Geodezyjne #         jaroslawadamski-geo-kad@o2.pl     #534 586 325
Jarosław Firlej Firlej-Geo Usługi Geodezyjne #         jf7@op.pl     #502 277 522
Jarosław Grześkowiak Przedsiębiorstwo Robót Inżynieryjno- Drogowych Jarbud ##(68) 383 94 74
Jarosław Kołodziej Geopascal Pomiary i Mapy Geodezyjne ##608 594 554
Jarosław Kunka Geoservice Zakład Usług Geodezyjnych #         geoservice@post.pl     #(91) 578 37 07
Jarosław Romanowski Profil Biuro Usług Geodezyjno-Kartograficznych #         geodeta1@poczta.onet.pl     #Oceń firmę i napisz o niej opinię:
Jarosław Sawczyszyn Usługi Geodezyjne #         jarekab@poczta.onet.pl     #Oceń firmę i napisz o niej opinię:
Jarosław Szewczun Przedsiębiorstwo Inżynieryjne Green-World #         szewczun@gmail.com     #Oceń firmę i napisz o niej opinię:
Jarosław Szynklarz Geodezja Js #         jszynklarz@interia.pl     #504 233 214
Jarosław Wilga Przedsiębiorstwo Geodezyjno-Usługowe Agrometr ##(29) 760 52 61
Jarosz Adam Pracownia Geodezyjno-Kartograficzna #         pgkchrzanow@o2.pl     #Oceń firmę i napisz o niej opinię:
Jarosz Adam Pracownia Geodezyjno-Kartograficzna ##607 098 779
Jaroszyński Jarosław Przedsiębiorstwo Inżynieryjno Budowlane ##501 231 604
Jasiak Łukasz Usługi Geodezyjne #         poczta@ugjasiak.pl     #660 752 947
Jasińska Julita Biuro Usług Geodezyjnych #         julitajasinskabug@gmail.com     #602 743 503
Jaskółka Jolanta Usługi Geodezyjne #         jolajaskolka@wp.pl     #(86) 218 48 26
Jaskuła Grzegorz Biuro Geodezji ##(61) 295 28 60
Jasonek Sylwia Usługi Geodezyjne #         sylwiajasonek@wp.pl     #603 126 424
Jasta Usługi Geodezyjne Stanisław Pesta ##(54) 280 03 60
Jastrząb Sp. z o.o. Polska Grupa Budowlano-Inżynieryjna ##501 057 404
Jastrząb Sp. z o.o. Polska Grupa Budowlano-Inżynieryjna Nieruchomości Sp.k. #         biuro@pgbi-jastrzab.pl     #608 626 578
Jastrząb Sp. z o.o. Polska Grupa Budowlano-Inżynieryjna Sp.k. ##(94) 352 41 86
Jaśkiewicz Leszek Usługi Geodezyjne #         usgeod@poczta.onet.pl     #Oceń firmę i napisz o niej opinię:
J.A.W. Pomiar S.C. Usługi Geodezyjne ##604 133 829
Jawor Biuro Geodezyjno - Inżynierskie Inż. Robert Jawor ##(18) 471 85 25
Jaworski Lech Usługi Geodezyjne #         lech-jaworski@wp.pl     #601 628 468
Jaworski Piotr #         biuro@geozen.pl     #608 304 609
Jaworski Zenon Usługi Geodezyjne #         biuro@geozen.pl     #608 174 501
Jc-Geo Usługi Geodezyjne Jacek Cieszko #         cieszkoj@gmail.com     #Oceń firmę i napisz o niej opinię:
Jeleniewski Eugeniusz Usługi Inżynieryjne ##(52) 344 30 76
Jerzy Czachurski Usługi Geodezyjne #         czachur@ns.onet.pl     #500 170 613
Jerzy Kozica Geodeta Uprawniony #         geokoz@wp.pl     #603 782 395
Jerzy Miśkowiec - Usługi Geodezyjne #         jurek.miskowiec@gmail.com     #502 378 193
Jerzy Pałaś Usługi Geodezyjne ##512 135 955
Jerzy Sagański Geo-Nord Przedsiębiorstwo Usług Geodezyjno-Kartograficznych - Jerzysagański 91-104 Łódź Plantowa 13 M 9 ##602 492 129
Jerzy Soczek - Przedsiębiorstwo Robót Inżynieryjnych Multikop #         multikop@wp.pl     #603 941 747
Jerzy Szydziak Biuro Techniczne G. i J.Szydziak ##602 441 933
Jędrowiak Barbara Jędrowiak Artur S.C. Usługi Geodezyjno-Kartograficzne ##(65) 517 83 19
Jędrzejowski Mirosław Usługi Geodezyjne #         geodezja_jedrzejowski@interia.pl     #(18) 354 11 72
Jg Zakład Inżynieryjny Inż. Grzesiński Jacek ##603 310 324
JG-Geodezja #         biuro@jg-geodezja.pl     #607 653 519
JKM Usługi Inżynieryjno-Budowlane Krzysztof Mecherski ##509 775 894
JMG Projekt USŁUGI GEODEZYJNE inż. Mateusz Jawień #         jmgprojekt.ug@gmail.com     #Oceń firmę i napisz o niej opinię:
Jmgeodeci S.C. Janusz Siewert Mariusz Huba ##608 279 777
JMK Geodeta Biuro Usług Geodezyjnych i Kartograficznych Justyna Kusio #         justyna1012@o2.pl     #600 458 182
J.M.S. S.C. Przedsiębiorstwo Geodezyjno-Usługowo-Handlowe ##(22) 758 83 70
Jolanta Wrona Usługi Geodezyjno-Kartograficzne #         wronageodezja1@wp.pl     #605 845 591
Jończy Łukasz Usługi Geodezyjne ##694 560 802
Joto Joanna Cuper #         tomcup@interia.pl     #600 247 008
Jotte S.C. Przedsiębiorstwo Wielobranżowe Grzegorz Bychawski Jacek Tężycki ##(12) 626 59 34
Józef Budzowski Przedsiębiorstwo Usług Geodezyjnych i Kartograficznych Info-Geo #         infogeo@poczta.onet.pl     #605 085 123
Józefowski Wojciech Usługi Geodezyjne Katograficzne #         jozefowski@geodetakoscian.com     #(65) 512 95 75
JPD Usługi Budowlano-Inżynieryjne Paweł Dudzik #         dudzikpd@wp.pl     #(18) 332 54 52
Jpg S.C. Usługi Geodezyjne Piotr Gałązka Jolanta Radzka ##508 164 543
Jul-Jan Przedsiębiorstwo Inżynieryjno Budowlane Bartosz Zielski #         g-bzielski@o2.pl     #696 101 188
Jurczak Stanisław Usługi Geodezyjne #         stanislawjurczak1962@gmail.com     #606 494 876
Jurkiewicz Piotr Usługi Geodezyjne #         ppietrecki@interia.pl     #Oceń firmę i napisz o niej opinię:
Juszczak Krzysztof Geodezja #         geodezja.k.juszczak@wp.pl     #509 652 767
K. N. Technic S.C. Przedsiębiorstwo Instalacyjno-Inżynieryjne ##(32) 202 30 89
K2 Geo Usługi Geodezyjne, Inż. Janusz Witkowski #         janusz.witkowski.91@gmail.com     #724 465 853
Ka - Rad Geo S.C. Radosław Kacperski Biuro Usług Geodezyjnych i Kartograficznych ##691 795 228
KABE GEODEZJA Bartosz Klimczuk ##665 563 789
Kaczmarek Krzysztof Biuro Usług Geodezyjnych ##(63) 241 65 09
Kaczmarek Rafał Usługi Geodezyjne #         geodetarafal@wp.pl     #604 214 145
Kaczyński Tomasz ##606 215 976
KADEX Geodezja Polska Sp. z o.o. #         biuro@kadex.poznan.pl     #501 721 005
Kadex Geodezja Sp. z o.o. #         biuro@kadex.poznan.pl     #(61) 306 79 01
Kageo Usługi Geodezyjne Adam Kapelański #         kageo@wp.pl     #Oceń firmę i napisz o niej opinię:
Kaj Dom Handlowy Krystyna Kucharska ##(41) 272 50 75
Kaleta Leszek Usługi Geodezyjne ##(41) 343 31 54
Kalibra Anna Doberska #         anna.doberska@gmail.com     #602 738 067
Kalinowski Linas Przedsiębiorstwo Usług Geodezyjno-Kartograficznych ##(87) 516 27 61
Kalinowski Przemysław Geodeta #         pr.kalinowski@poczta.onet.pl     #609 192 363
Kaliszewski Mariusz Pracownia Geodezyjna #         mariuszkaliszewski@op.pl     #507 167 850
Kal-Pa Usługi Geodezyjne i Kartograficzne Paweł Kalinowski ##889 695 061
Kamadex Sp. z o.o. Przedsiębiorstwo Robót Inżynieryjno-Drogowych ##(76) 844 40 45
Kamel S.C. Przedsiębiorstwo Robót Inżynieryjno-Melioracyjnych #         ka_mel@wp.pl     #(65) 529 07 14
KAMGEO USŁUGI GEODEZYJNE Piotr Kamiński #         p.kaminski.kamgeo@gmail.com     #691 992 030
Kamil Karpiński Consultancy - Finanse Geodezja Budownictwo #         fabiosmoog@gmail.com     #660 480 685
Kamil Krzysztof Kawka - Usługi Geodezyjno - Kartograficzne  K.K.K.  #         kamil_kawka@wp.pl     #502 367 567
Kamil Patynowski Busola-Geodezja i Kartografia #         kamil.k.patynowski@wp.pl     #726 499 996
Kamil Świerszcz Usługi Geodezyjno-Kartograficzne #         swierszczkamil@wp.pl     #Oceń firmę i napisz o niej opinię:
Kamiński Leszek Pomiary Geodezyjne #         e-leszek1@o2.pl     #600 312 917
Kamix PPUH Bartosz Majchrzak #         biuro@kamix.rsl.pl     #(32) 242 11 73
Kampol Przedsiębiorstwo Robót Inżynieryjnych Jan Żurawski #         jzkampol@op.pl     #606 394 599
Kanbud S.C. Jarosław Wójcik Zakład Robót Inżynieryjno-Budowlanych #         kanbud@vp.pl     #(32) 627 47 86
Kanbud S.C. Zenon Wójcik Zakład Robót Inżynieryjno - Budowlanych #         kanbud@vp.pl     #(32) 627 47 86
Kancelaria Geodezyjna Gikart Inż. Agata Kucharska #         agutek25@gmail.com     #Oceń firmę i napisz o niej opinię:
Kancelaria Geodezyjna Grzegorz Kwapisz #         biuro@geodezja-piotrkow.pl     #(44) 647 00 00
Kancelaria Geodezyjna Katarzyna Kwapisz #         k.kwapisz1@wp.pl     #513 049 419
Kancelaria Geodezyjna Legenda Geodeta Uprawniony inż. Michał Baran #         kancelaria-geodezyjna@wp.pl     #791 393 385
Kancelaria Geodezyjna Magdalena Mucha #         kancelaria_geodezyjna@o2.pl     #504 877 192
Kancelaria Geodezyjna Mariusz Krupski #         mariusz.krupski@onet.pl     #721 499 959
Kancelaria Geodezyjna mgr Janusz Stępień #         janusz-stepien1@wp.pl     #601 873 492
Kancelaria Geodezyjna Plan Małgorzata Mosakowska ##693 900 810
Kancelaria Geodezyjna S.C. ##(22) 716 76 77
Kancelaria Geodezyjna Wojciech Szafrański ##516 916 480
Kancelaria Geodezyjnalexgeoinż. Anna Byś #         ablexgeo@gmail.com     #691 945 577
Kancelaria Inwestycyjna Jan Ryszard Paluch ##501 572 399
Kan-Geo S.C. Biuro Usług Geodezyjnych ##(12) 387 13 44
Kanryd Sp.J. Przedsiębiorstwo Robót Inżynieryjnych Jerzy Rydlewski Wojciech Kania ##(41) 311 04 86
Kapica Jarosław Zakład Usług Geodezyjno-Kartograficznych ##(85) 747 46 62
Kappa Sp. z o.o. Przedsiębiorstwo Budownictwa Inżynieryjnego ##539 682 675
Karczewski Wiesław Usługi Geodezyjno-Kartograficzne #         geo_kart@interia.pl     #(75) 646 55 97
Karex Przedsiębiorstwo Drogowo-Inżynieryjne Roman Chmara ##(62) 762 98 75
Karfo Mariusz Miłek ##663 350 804
Kargeo Usługi Geodezyjne Karol Smardzewski #         smardzewskikarol@gmail.com     #Oceń firmę i napisz o niej opinię:
Ka-Ro Roman Bornus #         ka-ro8@o2.pl     #605 592 844
Karol Gąsiorek Usługi Geodezyjne #         karol_gasiorek@o2.pl     #603 952 223
Karolina Kieliszek ##501 372 352
Kartex Piotr Kochański ##602 757 737
Kartex Piotr Kochański #         kartexkochanski@o2.pl     #602 757 737
Kartezja Usługi Geodezyjne Krzysztof Burzyński #         ug.kartezja@gmail.com     #796 115 306
Kartezjusz Biuro Usług Geodezyjnych Zofia Młynarczyk #         biurokartezjusz@gmail.com     #889 864 109
Kart-Gis Damian Bagnowski Usługi Geodezyjne #         d.bagnowski@gmail.com     #514 900 890
Karthaginis - Studio Kartografii Geodezji i Geologii Joanna Hasse #         karthaginis@wp.pl     #607 254 825
Kartis Usługi Geodezyjne Zbigniew Rowiński ##(75) 734 67 55
Kartogeo Geodezja i Kartografia - Usługi Florian Wroński #         florianw@poczta.onet.pl     #602 615 298
Kartogis Usługi Geodezyjne i Kartograficzne Krzysztof Spychała #         kartogis.ks@gmail.com     #Oceń firmę i napisz o niej opinię:
Kartograf Marek Przyłębski #         mprzylebski@poczta.onet.pl     #601 677 999
Karto-Graf Przedsiębiorstwo Usług Geodezyjno-Kartograficznych Zbigniew Tryk ##(89) 513 60 40
Kartomap Sp. z o.o. Przedsiębiorstwo Geodezyjne #         kartomap2@wp.pl     #602 101 519
Kartometr S.C. Usługi Geodezyjno-Kartograficzne #         kartometr@wp.pl     #Oceń firmę i napisz o niej opinię:
Kartoplan Przedsiębiorstwo Geodezyjno-Kartograficzne #         kartoplan@interia.pl     #608 400 018
Kartoplot Usługi Geodezyjno-Kartograficzne B. Czajkowska-Urban D. Urban #         k-plot@npi.pl     #606 252 844
Kartplan Geodezja Paweł Sochan #         psochan.geo@gmail.com     #509 723 356
Kartuskie Biuro Geodezyjne Michał Pellowski #         geo@kartuzy.com     #605 657 875
Karwot Roman Przedsiębiorstwo Robót Inżynieryjnych #         berga2@wp.pl     #(32) 472 04 44
Kasperczyk Piotr Usługi Geodezyjne ##602 376 835
Kasperek Michał Usługi Geodezyjno-Kartograficzne ##(61) 296 35 34
Kasprzyk Karol Biuro Geodezji ##661 917 320
Kaszuba Małgorzata Pracownia Geodezyjno-Kartograficzna #         geodezjagryfow@gmail.com     #782 977 531
Katarzyna Chorąży Usługi Geodezyjne #         poligon@interia.pl     #660 786 662
Katarzyna Sobolewska Przedsiębiorstwo Usługowe Elipsa ##503 198 050
Katarzyna Wychrystenko Usługi Geodezyjne Matmap #         kasiaw151@wp.pl     #600 701 144
Katarzyna Zelmanowicz Usługi Geodezyjno-Informatyczne #         kzelmanowicz@wp.pl     #Oceń firmę i napisz o niej opinię:
Kataster Usługi Geodezyjne i Kartograficzne inż. Marcin Drobot #         biuro@geodezja-kataster.pl     #666 013 550
Kataster Usługi Geodezyjne i Kartograficzne inż. Marcin Drobot #         marcin.drobot@gmail.com     #666 013 550
Katinus Geodezja ##607 540 407
Katinus Piotr Pachniewski ##607 540 407
Kat-Map Firma Usługowa Marianna Tyśbierek #         t_marzena@op.pl     #607 397 602
Kay-Max Usługi Geodezyjne Paweł Okólski #         kaymax.geodezja@gmail.com     #606 618 654
Kazdro-Geodezja Biuro #         biuro@kazdro.pl     #Oceń firmę i napisz o niej opinię:
Kazimierz Chorąży Geokom Biuro Usług Geodezyjnych ##509 144 973
Kazimierz Płonka Usługi Geodezyjno-Miernicze #         kazplonka@vp.pl     #(32) 427 40 59
Kaźmierczak Bogdan Przedsiębiorstwo Usług Geodezyjno-Kartograficznych ##(42) 630 03 63
Kaźmierczak Przedsiębiorstwo Robót Instalacyjno-Inżynieryjnych Zbigniew Kaźmierczak #         priikazmierczak@wp.pl     #(44) 616 84 19
KĄT Prosty Usługi Geodezyjne Tomasz Baran #         kat-prosty@wp.pl     #501 644 862
Kbutryn Wycena, Nieruchomości, Geodezja Mgr Inż. Krzysztof Butryn #         wycena.kbutryn@gmail.com     #728 559 719
Kd Fotogrametria Karolina Dobrzewińska #         kdfotogrametria@gmail.com     #506 343 911
Keja Usługi Geodezyjno-Kartograficzne Andrzej Roeske #         ajekeja@wp.pl     #501 125 782
Kera Usługi Geodezyjne i Kartograficzne Anna Kłysiak #         kera.geodezja@gmail.com     #509 924 717
Kędziera Sławomir Usługi Geodezyjne #         slawek_kedziera@onet.eu     #511 031 388
Kętrzyńskie Biuro Geodezji Damian Biłda #         kbgketrzyn@wp.pl     #888 904 569
Kgeo Usługi Geodezyjne i Kartograficzne Katarzyna Jarosz #         kgeo.geodezja@gmail.com     #794 605 263
K-Geo Usługi Geodezyjne Jarosław Konowrocki #         geodezja.konowrocki@gmail.com     #Oceń firmę i napisz o niej opinię:
Kidawa Wojciech Geodeta ##(34) 327 32 18
Kierczak Bożena Pracownia Geodezyjna #         b.kierczak1@gmail.com     #506 219 042
Kilen Kart Usługi Geodezyjno Kartograficzne Zbigniew Kilen #         zbigniew.kilen@gmail.com     #604 770 953
K&amp;K Global Usługi Geodezyjne Krzysztof Steczko #         kk_global@op.pl     #501 366 917
Klepaccy S.C. Usługi Geodezyjne J. i M. Klepaccy ##505 203 086
Klepka Mirosław Usługi Geodezyjne #         miroslawklepka@wp.pl     #(55) 247 34 34
Kl-Geo Usługi Geodezyjno-Kartograficzne Krzysztof Lenkiewicz #         kl_geo@onet.eu     #(87) 428 84 77
Kluba Adam Kancelaria Geodezyjna ##(12) 388 27 15
Kluczewski Sławomir ##504 011 390
Kłoniecki Dariusz Usługi Geodezyjne i Kartograficzne ##(68) 360 75 21
Kłyż Józef Kłyż Janina S.C. Usługi Geodezyjno-Kartograficzne ##(74) 845 08 66
Kmiecik Stanisław Zakład Instalacyjno-Inżynieryjny ##(13) 441 56 92
Kms Geodezja Inż. Michał Siejna #         kmsgeodezja@gmail.com     #781 878 778
Kobel Ryszard Zakład Usług Geodezyjnych ##509 909 395
Kodem A&amp;D Pracownia Geodezyjno-Projektowa Dariusz Mazurek #         d.mazurek@wp.pl     #517 383 280
Kodem Pracownia Geodezyjno-Projektowa Inż. Krzysztof Mazurek #         krzysztof@kodem.eu     #692 378 971
Kogut Konrad Przedsiębiorstwo Usług Geodezyjno-Kartograficznych #         konrad.kogut@wp.pl     #Oceń firmę i napisz o niej opinię:
Kogut Łukasz Pomiary Geodezyjne #         mediona2@o2.pl     #724 021 479
Kolektor Janiak Łukasz Biuro Usług Inżynieryjnych #         pracownia@kolektor-serwis.pl     #(65) 526 77 00
Kol-Kart Sp. z o.o. ##(17) 227 13 26
Kolos i Spółka Sp.j. Usługi Geodezyjno-Kartograficzne #         kolossj@wp.pl     #(58) 682 10 20
Komosa Krzysztof Geodeta #         komosa.krzysztof@wp.pl     #501 631 477
Kompas 3D Magdalena Gwadera #         lgwadera@gmail.com     #794 500 560
Kompas Geodeta Łukasz Gwadera ##794 500 560
Kompas Geodeta Łukasz Gwadera #         lgwadera@gmail.com     #794 500 560
Kompas Przedsiębiorstwo Wielobranżowe #         kompas@kompas.cal.pl     #501 156 901
Kompas Przedsiębiorstwo Wielobranżowe #         kompas@t.pl     #501 156 901
KOMPAS Usługi Geodezyjne #         biuro@kompassierakowice.pl     #608 777 047
Kompas Usługi Geodezyjne Damian Bojanowski #         biuro@kompassierakowice.pl     #668 492 919
Komp-Geo Ryszard Kołodziej ##695 385 498
Konarex M i S Investment Usługi Geodezyjne #         konarex@neostrada.pl     #(12) 270 15 28
Konarski Marek Biuro Usług Geodezyjnych ##(81) 888 53 99
Konarzewski Zbigniew Usługi Geodezyjne ##(91) 328 08 42
Kondracka Czesława Usługi Geodezyjne ##(22) 672 05 64
Kondracki Wiesław S.C. Biuro Usług Geodezyjnych ##(77) 412 06 50
Konkol Robert Usługi Geodezyjne ##(17) 229 18 76
Konkołowicz Witold Zakład Usług Geodezyjno-Kartograficznych #         konkolowicz@wp.pl     #607 158 898
Konopnicka Bensdorff Katarzyna Usługi Geodezyjne i Kartograficzne ##501 284 862
Konrad Golec Usługi Geodezyjne #         kgolec1@autograf.pl     #Oceń firmę i napisz o niej opinię:
Konrad Piszczek Kmp-Geo Citigeo #         kpiszczek@citigeo.pl     #606 224 119
Konstanty Łukasz Usługi Geodezyjne #         lukkonstanty@o2.pl     #695 158 625
Konstruktor Biuro Inżynieryjne Paweł Babeł ##(18) 265 74 73
Kooba Geodezja K.Gromala, M.Wydra S.C. #         biuro@kooba-geodezja.pl     #Oceń firmę i napisz o niej opinię:
Kooba Kamil Gromala #         biuro@kooba-geodeja.pl     #510 720 717
Koperska Elżbieta Geodeta Uprawniony ##603 587 674
Koperska Elżbieta Geodeta Uprawniony #         koperska.elzbieta@wp.pl     #603 587 674
Kopiński Grzegorz Usługi Geodezyjno-Kartograficzne ##509 023 478
Korczakowski Michał Biuro Inżynieryjno-Projektowe #         michalkorczakowski@gmail.com     #501 765 887
Korimex Przedsiębiorstwo Budowlano-Inżynieryjne #         pbi-korimex@wp.pl     #(95) 760 24 09
Korkosz Sp.j. Przedsiębiorstwo Robót Inżynieryjnych #         pri-nisko@o2.pl     #(15) 841 51 01
Korneta Zbigniew Geo-Kor ##691 915 588
Korona Sp. z o.o. Dolnośląskie Przedsiębiorstwo Robót Inżynieryjnych ##604 459 900
Korzeniecki Jarosław Usługi Geodezyjne ##503 067 597
Korzeniowski Krzysztof Usługi Geodezyjno-Kartograficzne #         ugikkk@wp.pl     #(74) 832 08 96
Kosmala Andrzej Usługi Geodezyjne #         andrzej_kosmala@o2.pl     #Oceń firmę i napisz o niej opinię:
Kościan Piotr Usługi Geodezyjne-Piotr Kościan Geodezja Geo-Map M.P.Kościan ##(62) 591 85 25
Kośmider Wiesława i Jerzy S.C. Wycena Nieruchomości Geodezja #         kosmider@weba.pl     #502 522 413
Kota Usługi Projektowe i Geodezyjne Inż. Maciej Wrona #         kotauslugi@gmail.com     #510 066 404
Kotaś Janusz Usługi Geodezyjne ##(33) 867 15 87
Kotecki Zenon Biuro Inżynieryjno-Inwestycyjne ##(61) 292 04 45
Kotyński Grzegorz KołomyjskiJerzy S.C. Biuro Geodezyjne #         pbgkrg@wp.pl     #(85) 732 61 31
Kowaliński Dariusz Usługi Geodezyjne #         geodezja@interia.pl     #880 909 599
Kowalska Anna Usługi Geodezyjne i Kartograficzne ##(23) 654 83 56
Kowalski Artur Usługi Geodezyjne ##606 194 735
Kowalski Paweł Geoport Usługi Geodezyjne Inż. Paweł Kowalski ##784 145 238
Kowalski Wojciech Usługi Geodezyjne #         kowalgd@poczta.onet.pl     #(56) 683 50 65
Kowalski Zdzisław Biuro Usług Geodezyjno-Kartograficznych #         zdzislawkowalsky@wp.pl     #602 697 285
Kozakiewicz Elżbieta Geo-Metr-2004 ##(25) 798 50 00
Kozakiewicz Michał Usługi Geodezyjne #         mkozakiewicz5@wp.pl     #(91) 416 30 78
Kozieł Jacek Usługi Geodezyjne Kartograficzne i Informatyczne #         j.koziel@wp.pl     #Oceń firmę i napisz o niej opinię:
Kozioł Mieczysław Zakład Robót Budowlano-Inżynieryjnych i Wodno-Melioracyjnych ##600 211 066
Kozłowski Tadeusz Usługi Geodezyjne ##505 031 676
Kozłowski Wiesław Biuro Usług Geodezyjnych ##(24) 268 86 98
Krakowiak Bożena Bożena Krakowiak Usługi Geodezyjne ##798 452 082
Krakowskie Przedsiębiorstwo Robót Inżynieryjnych i Komunalnych Sp. z o.o. #         kaprikom@interia.pl     #(12) 653 11 32
Krakowskie Przedsiębiorstwo Robót Inżynieryjnych Sp. z o.o. ##(12) 633 97 60
Kraski Jakub Pracownia Geodezyjno-Kartograficzna #         jkraski@wp.pl     #(61) 622 95 93
Krasoń Przedsiębiorstwo Usług Inżynieryjnych Józef Krasoń #         makkrason@op.pl     #604 541 479
Kraśnicki Marcin Zakład Usług Geodezyjno Kartograficznych #         kozaczek774@wp.pl     #Oceń firmę i napisz o niej opinię:
Kratkowski Jacek Usługi Geodezyjne ##(24) 275 61 86
Kraus Lucjan Usługi Geodezyjno-Kartograficzne #         jerzygajda@wp.pl     #607 609 775
Krawczyk Maciej Geo MIX Usługi Geodezyjne ##501 024 623
Kreska Firma Geodezyjna Krystyna Bidzińska-Kaczor #         kreska02@interia.pl     #501 238 411
Kreślarz Przedsiębiorstwo Geodezyjno-Handlowe Janusz Karpowicz #         kreslarz@go2.pl     #603 584 703
KRETKOP Przedsiębiorstwo Inżynieryjne Krzysztof Fecko ##500 601 616
Kretkop Przedsiębiorstwo Inżynieryjne Paweł Zagdański #         biuro@kretkop.pl     #(74) 873 36 26
Krisel Biuro Geodezyjne Krzysztof Gaj #         info@geogaj.pl     #(61) 441 42 05
Krisel PHU inż. Krzysztof Gaj ##(61) 441 42 05
Kris-Geo Usługi Geodezyjne Krzysztof Włodarczyk #         krzywlo@op.pl     #666 138 478
KRM Biuro Usług Geodezyjnych ##(58) 305 50 39
Krok Danuta i Krok Piotr S.C. Zakład Usług Geodezyjno-Kartograficznych ##605 699 623
Krok Józef Przedsiębiorstwo Usług Geodezyjno-Kartograficznych #         pugik@op.pl     #Oceń firmę i napisz o niej opinię:
Krok Józef Przedsiębiorstwo Usług Geodezyjnych i Kartograficznych #         pugik@pugik.sanok.pl     #(13) 463 50 02
Kroll Krzysztof Geodezja #         krzysiek_kroll@op.pl     #692 242 800
Krukowski Grzegorz Usługi Geodezyjne #         grzegorz.krukowski@geodeta.pl     #607 533 337
Krupiński Bartosz Usługi Geodezyjne #         2bart2@wp.pl     #508 221 792
Krupiński January-Usługi Geodezyjne Inż.January Krupiński ##501 325 269
KRUSZ-BET S.C. Zakład Inżynieryjno Budowlany Dariusz Kruszewski Adam Chmieliński #         biuro@krusz-bet.pl     #608 336 852
Kruszec Rafał Biuro Geodezyjne #         georaf@op.pl     #Oceń firmę i napisz o niej opinię:
Krystyna Bartoszek Usługi Geodezyjne Mobi Geo #         kbartoszek@go2.pl     #(42) 213 08 29
Krystyna Górzyńska ##602 727 598
Krystyna Kolarz Usługi Geodezyjne Kolarz Krystyna ##503 112 142
Krystyna Kowalska Usługi Geodezyjno- Kartograficzne #         geodezjakkad@gmail.com     #(43) 675 28 06
Krystyna Szot Usługi Geodezyjne #         krystyna.szot@wp.pl     #513 197 280
Krystyna Zalewska Usługi Geodezyjne #         krysiaza@interia.pl     #694 925 487
Krystyna Zawada - Usługi Geodezyjne ##(34) 317 71 08
Krzemińska-Freda Blandyna Biuro Inżynieryjno-Konsultingowe #         blanka23@op.pl     #(42) 679 21 76
Krzemiński Krzysztof Zakład Inżynieryjno-Handlowy #         zihkrzeminski@gmail.com     #(32) 296 89 16
Krzykawska Sabina Usługi Geodezyjne #         damian_krz@op.pl     #666 815 165
Krzystolik Sp. z o.o. #         biuro@krzystolik.pl     #695 448 469
Krzysztof Czarnecki Przedsiębiorstwo Inżynieryjno-Usługowe Plumber #         kcplumber@wp.pl     #887 644 327
Krzysztof Domoń Geo-Project Usługi Geodezyjne #         geoprojecr@tlen.pl     #Oceń firmę i napisz o niej opinię:
Krzysztof Gierliński Krzysztof Gierliński Geo Usługi Geodezyjno-Kartograficzne ##501 135 137
Krzysztof Grabias Geometr Usługi Geodezyjne #         krzysztofgrabias@gmail.com     #Oceń firmę i napisz o niej opinię:
Krzysztof Hałas ##696 003 117
Krzysztof Hanulak Mbi Mostowe Biuro Inżynieryjne #         whanulak@wp.pl     #Oceń firmę i napisz o niej opinię:
Krzysztof Klejdysz Doradztwo Inżynieryjne #         krzysztof.klejdysz@wp.pl     #Oceń firmę i napisz o niej opinię:
